OpenAlex.title;issn.X1;issn.X2;issn.X3;issn.X4;host_organization_name;country_code;concept;Scopus.title;Print-ISSN;E-ISSN;All Science Journal Classification Codes (ASJC);WoS.title;WoS.ISSN;WoS.eISSN;WoS. Categories;DOAJ.title;DOAJ.Journal ISSN (print version);DOAJ.Journal EISSN (online version)
Journal of Medical Ethics;0306-6800;0306-6800;1473-4257;;BMJ;;;Journal of Medical Ethics;0306-6800;1473-4257;"2719; 1201; 2910; 3306;";JOURNAL OF MEDICAL ETHICS;0306-6800;1473-4257;Medical Ethics;;;
Journal of medical ethics and history of medicine;2008-0387;;;;Tehran University of Medical Sciences;IR;C159110408;Journal of Medical Ethics and History of Medicine;2008-0387;-;"3308; 1202; 1701;";JOURNAL OF MEDICAL ETHICS AND HISTORY OF MEDICINE;2008-0387;2008-0387;Medical Ethics;Journal of Medical Ethics and History of Medicine;;2008-0387
Journal of medical informatics and decision making;2641-5526;;;;;US;C159110408;;;;;;;;;;;
Journal of Medical Internet Research;1439-4456;1438-8871;;;JMIR Publications;DE;C159110408;Journal of Medical Internet Research;1438-8871;-;"2718;";JOURNAL OF MEDICAL INTERNET RESEARCH;1438-8871;1438-8871;Health Care Sciences & Services | Medical Informatics;Journal of Medical Internet Research;;1438-8871
Journal of medical psychology;2468-3892;2468-3884;;;IOS Press;NL;C159110408;;;;;;;;;;;
Journal of medical regulation;2572-1801;2572-1852;;;;US;C159110408;Journal of Medical Regulation;2572-1801;2572-1852;"2912; 2719; 3304; ";;;;;;;
Journal of Medical Surgical Nursing Practice and Reserach;2582-1512;;;;;IN;C159110408;;;;;;;;;;;
Journal of Medical Systems;1573-689X;0148-5598;;;Springer Science+Business Media;US;C159110408;Journal of Medical Systems;0148-5598;1573-689X;"3605; 2718; 1710; 2701;";JOURNAL OF MEDICAL SYSTEMS;0148-5598;1573-689X;Health Care Sciences & Services | Medical Informatics;;;
Journal of Medicinal Food;1096-620X;1557-7600;1096-620X;;Mary Ann Liebert, Inc.;US;;Journal of Medicinal Food;1096-620X;-;"2916; 2701;";JOURNAL OF MEDICINAL FOOD;1096-620X;1557-7600;Chemistry, Medicinal | Food Science & Technology | Nutrition & Dietetics;;;
Journal of medicinal plants;2717-2058;2717-204X;;;Institute of Medicinal Plants, ACECR;IR;C159110408;;;;;;;;;Journal of Medicinal Plants;2717-204X;2717-2058
Journal of Medicinal Plants;1684-0240;;;;;IR;C159110408;Journal of Medicinal Plants;1684-0240;-;"2707; 3004;";;;;;;;
Journal of Medicine and Philosophy;0360-5310;0360-5310;1744-5019;;Oxford University Press;;;Journal of Medicine and Philosophy;0360-5310;1744-5019;"1211; 2700; 2910;";JOURNAL OF MEDICINE AND PHILOSOPHY;0360-5310;1744-5019;Ethics | Social Sciences, Biomedical;;;
Journal of medicine and the person;2035-9411;2036-3877;;;Springer Nature;IT;C159110408;;;;;;;;;;;
Journal of medicine, nursing & public health;2706-6606;;;;;US;C159110408;;;;;;;;;;;
Journal of Mental Health;0963-8237;1360-0567;;;Informa;GB;C159110408;Journal of Mental Health;0963-8237;1360-0567;"2738; 2700;";JOURNAL OF MENTAL HEALTH;0963-8237;1360-0567;Psychology, Clinical;;;
Journal of mental health administration;2331-4419;0092-8623;;;Springer Nature;US;C159110408;;;;;;;;;;;
Journal of mental health and addiction nursing;2561-309X;;;;;CA;C159110408;;;;;;;;;;;
Journal of mental health counseling;1040-2861;2163-5749;;;;US;C159110408;;;;;;;;;;;
Journal of Mental Health Policy and Economics;1099-176X;1091-4358;;;Wiley;US;C159110408;Journal of Mental Health Policy and Economics;1091-4358;-;"2700;";JOURNAL OF MENTAL HEALTH POLICY AND ECONOMICS;1091-4358;1099-176X;Health Policy & Services | Psychiatry;;;
Journal of Mental Health Research in Intellectual Disabilities;1931-5872;1931-5864;;;Taylor & Francis;US;C159110408;Journal of Mental Health Research in Intellectual Disabilities;1931-5864;1931-5872;"2738;";JOURNAL OF MENTAL HEALTH RESEARCH IN INTELLECTUAL DISABILITIES;1931-5864;1931-5872;Education, Special | Psychiatry | Rehabilitation;;;
Journal of Midwifery;2598-3180;;;;;ID;C159110408;;;;;;;;;Journal of Midwifery;;2598-3180
Journal of Midwifery & Women's Health;1526-9523;1542-2011;;;Wiley;US;C159110408;Journal of Midwifery and Women's Health;1526-9523;-;"2913; 2729;";JOURNAL OF MIDWIFERY & WOMENS HEALTH;1526-9523;1542-2011;Nursing;;;
Journal of Midwifery and Nursing;2656-0739;;;;Institute of Computer Science;ID;C159110408;;;;;;;;;;;
Journal of Midwifery, Women Health And Gynaecological Nursing;2582-3094;;;;;IN;C159110408;;;;;;;;;;;
Journal of midwifery, women's health and nursing practice;2637-9260;;;;;US;C159110408;;;;;;;;;;;
Journal of migration and health;2666-6235;;;;Elsevier BV;GB;C159110408;Journal of Migration and Health;-;2666-6235;"2725; 3312; 3317; 3306; ";JOURNAL OF MIGRATION AND HEALTH;2666-6235;2666-6235;Public, Environmental & Occupational Health;Journal of Migration and Health;;2666-6235
Journal of military, veteran and family health;2368-7924;;;;University of Toronto Press;CA;C159110408;Journal of Military, Veteran and Family Health;-;2368-7924;"2700;";JOURNAL OF MILITARY VETERAN AND FAMILY HEALTH;;2368-7924;Public, Environmental & Occupational Health;;;
Journal of Mobile Technology in Medicine;1839-7808;;;;;AU;C159110408;;;;;;;;;;;
Journal of modern nursing practice and research;2708-2202;;;;;HK;C159110408;;;;;;;;;;;
Journal of Molecular Docking;2798-138X;;;;;ID;C159110408;;;;;;;;;Journal of Molecular Docking;;2798-138X
Journal of multidisciplinary care;2783-3852;;;;;IR;C159110408;;;;;;;;;Journal of Multidisciplinary Care;;2783-3852
Journal of multidisciplinary healthcare;1178-2390;;;;Dove Medical Press;NZ;C159110408;Journal of Multidisciplinary Healthcare;1178-2390;-;"2700; 2900;";JOURNAL OF MULTIDISCIPLINARY HEALTHCARE;1178-2390;1178-2390;Health Care Sciences & Services;Journal of Multidisciplinary Healthcare;;1178-2390
Journal of multidisciplinary research in healthcare;2393-8536;2393-8544;;;;IN;C159110408;;;;;;;;;;;
Journal of multimorbidity and comorbidity;2633-5565;;;;SAGE Publishing;GB;C159110408;;;;;;;;;;;
Journal of National Black Nurses' Association: JNBNA;0885-6028;;;;;US;C159110408;;;;;;;;;;;
Journal of Neonatal Nursing;1878-089X;1355-1841;;;Elsevier BV;GB;C159110408;Journal of Neonatal Nursing;1355-1841;-;"2919;";;;;;;;
Journal of Nepal Health Research Council;1727-5482;1999-6217;;;;NP;C159110408;Journal of Nepal Health Research Council;1999-6217;-;"2700;";;;;;Journal of Nepal Health Research Council;1727-5482;1999-6217
Journal of Nepalese Association of Pediatric Dentistry;2773-7934;2773-7926;;;;NP;C159110408;;;;;;;;;;;
Journal of neurocritical care (Print);2005-0348;2005-0348;2508-1349;;;KR;;Journal of Neurocritical Care;-;2508-1349;"2902; 2738; 2728; ";;;;;Journal of Neurocritical Care;2005-0348;2508-1349
Journal of Neurological, Psychiatric and Mental Health Nursing;2582-0508;;;;;IN;C159110408;;;;;;;;;;;
Journal of Neuroscience Nursing;0888-0395;1945-2810;;;Lippincott Williams & Wilkins;US;C159110408;Journal of Neuroscience Nursing;0888-0395;-;"2914; 2728; 2807; 2746;";JOURNAL OF NEUROSCIENCE NURSING;0888-0395;1945-2810;Clinical Neurology | Nursing;;;
Journal of Nurses Voice and Impact;2582-7812;;;;;IN;C159110408;;;;;;;;;;;
Journal of Nursing;0047-262X;;;;;;C159110408;Journal of Nursing;0047-262X;-;"2900;";;;;;;;
Journal of nursing;1008-9969;;;;Universe Scientific Publishing;CN;C159110408;;;;;;;;;;;
Journal of nursing;2056-9157;;;;Herbert Publications;GB;C159110408;;;;;;;;;;;
Journal of nursing;2315-4578;;;;;SG;C159110408;;;;;;;;;;;
Journal of nursing & care;2167-1168;;;;OMICS Publishing Group;US;C159110408;;;;;;;;;;;
Journal of nursing & healthcare;2475-529X;;;;;US;C159110408;;;;;;;;;;;
Journal of nursing & patient care;2573-4571;;;;OMICS Publishing Group;US;C159110408;;;;;;;;;;;
Journal of Nursing Administration;1539-0721;0002-0443;;;Lippincott Williams & Wilkins;US;C159110408;Journal of Nursing Administration;0002-0443;1539-0721;"2700; 2911;";JOURNAL OF NURSING ADMINISTRATION;0002-0443;1539-0721;Nursing;;;
Journal of Nursing and Health;2236-1987;;;;Federal University of Pelotas;BR;C159110408;;;;;;;;;;;
Journal of nursing and health studies;2574-2825;;;;OMICS Publishing Group;US;C159110408;;;;;;;;;;;
Journal of nursing and healthcare management;2639-7293;;;;;US;C159110408;;;;;;;;;;;
Journal of Nursing and Healthcare of Chronic Illness;1752-9824;1752-9816;;;Wiley;GB;C159110408;;;;;;;;;;;
Journal of nursing and midwifery sciences;2345-5756;2345-5764;;;Medknow;IR;C159110408;Journal of Nursing and Midwifery Sciences;2345-5756;2345-5764;"2900; ";JOURNAL OF NURSING AND MIDWIFERY SCIENCES;2345-5756;2345-5764;Nursing;;;
Journal of nursing and patient health care;2767-9292;;;;;US;C159110408;;;;;;;;;;;
Journal of nursing and patient safety;2766-9653;;;;;US;C159110408;;;;;;;;;;;
Journal of nursing and practice;2578-7071;;;;;US;C159110408;;;;;;;;;;;
Journal of Nursing and Socioenvironmental Health;2358-9884;;;;;BR;C159110408;;;;;;;;;;;
"Journal of nursing and women&#x2019;s healthcare";2577-1450;;;;;US;C159110408;;;;;;;;;;;
Journal of Nursing Care Quality;1550-5065;1057-3631;;;Lippincott Williams & Wilkins;US;C159110408;Journal of Nursing Care Quality;1057-3631;1550-5065;"2900;";JOURNAL OF NURSING CARE QUALITY;1057-3631;1550-5065;Nursing;;;
Journal of Nursing Education;0148-4834;1938-2421;;;Slack Incorporated (United States);US;C159110408;Journal of Nursing Education;0148-4834;-;"3304; 2900;";JOURNAL OF NURSING EDUCATION;0148-4834;1938-2421;Nursing;;;
Journal of Nursing Education and Practice;1925-4040;1925-4059;;;Sciedu Press;CA;C159110408;;;;;;;;;;;
Journal of nursing explorations;2717-3003;;;;;IR;C159110408;;;;;;;;;;;
Journal of Nursing Law;1938-2995;1073-7472;;;Springer Nature;US;C159110408;;;;;;;;;;;
Journal of Nursing Management;1365-2834;0966-0429;;;Wiley-Blackwell;GB;C159110408;Journal of Nursing Management;0966-0429;1365-2834;"2911;";JOURNAL OF NURSING MANAGEMENT;0966-0429;1365-2834;Nursing;;;
Journal of Nursing Measurement;1945-7049;1061-3749;;;Springer Science+Business Media;US;C159110408;Journal of Nursing Measurement;1061-3749;-;"2700; 2900;";JOURNAL OF NURSING MEASUREMENT;1061-3749;1945-7049;Nursing;;;
Journal of Nursing Practice;2614-3488;2614-3496;;;;ID;C159110408;;;;;;;;;Journal of Nursing Practice;2614-3488;2614-3496
Journal of nursing practice applications & reviews of research;2329-4760;2329-4779;;;;US;C159110408;;;;;;;;;;;
Journal of nursing quality assurance;0889-4647;2331-1118;;;;US;C159110408;;;;;;;;;;;
Journal of Nursing Regulation;2155-8256;2155-8264;;;Elsevier BV;US;C159110408;Journal of Nursing Regulation;2155-8256;2155-8264;"2901; 2910;";JOURNAL OF NURSING REGULATION;2155-8256;2155-8264;Nursing;;;
Journal of Nursing Research;1682-3141;1948-965X;;;Wolters Kluwer;TW;C159110408;Journal of Nursing Research;1682-3141;-;"2700; 2900;";JOURNAL OF NURSING RESEARCH;1682-3141;1948-965X;Nursing;The Journal of Nursing Research;1682-3141;1948-965X
Journal of Nursing Research, Education and Management;2582-001X;;;;;IN;C159110408;;;;;;;;;;;
Journal of Nursing Scholarship;1547-5069;1527-6546;;;Wiley-Blackwell;US;C159110408;Journal of Nursing Scholarship;1527-6546;1547-5069;"2900;";JOURNAL OF NURSING SCHOLARSHIP;1527-6546;1547-5069;Nursing;;;
Journal of nursing science & practice;2249-4758;2348-957X;;;;IN;C159110408;;;;;;;;;;;
Journal of Nursing Science Benha University (Print);2735-5802;2682-3934;;;;EG;C159110408;;;;;;;;;;;
Journal of Nursing Science Practice, Research and Advancements;2582-7847;;;;;IN;C159110408;;;;;;;;;;;
Journal of nursing staff development;2331-4087;0882-0627;;;Lippincott Williams & Wilkins;US;C159110408;;;;;;;;;;;
Journal of Nursing UFPE on line;1981-8963;;;;Federal University of Pernambuco;BR;C159110408;;;;;;;;;;;
Journal of Nutrition;0022-3166;1541-6100;0022-3166;;Oxford University Press;US;;Journal of Nutrition;0022-3166;1541-6100;"2916; 2701;";JOURNAL OF NUTRITION;0022-3166;1541-6100;Nutrition & Dietetics;;;
Journal of nutrition and food security;2476-7417;2476-7425;2476-7417;;Shahid Sadoughi University of Medical Sciences;IR;;Journal of Nutrition and Food Security;2476-7417;2476-7425;"2739; 2916; 2701; 1106; ";;;;;Journal of Nutrition and Food Security;2476-7417;2476-7425
Journal of nutrition and health;2288-3886;2288-3886;2288-3959;;;KR;;Journal of Nutrition and Health;2288-3886;2288-3959;"2739; 2916; 2701;";;;;;;;
Journal of Nutrition and Metabolism;2090-0724;2090-0724;2090-0732;;Hindawi Publishing Corporation;GB;;Journal of Nutrition and Metabolism;2090-0724;2090-0732;"2916; 1106; 2712;";JOURNAL OF NUTRITION AND METABOLISM;2090-0724;2090-0732;Nutrition & Dietetics;Journal of Nutrition and Metabolism;2090-0724;2090-0732
Journal of Nutrition Education and Behavior;1499-4046;1878-2620;;;Elsevier BV;CA;C159110408;Journal of Nutrition Education and Behavior;1499-4046;-;"2916; 2701;";JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR;1499-4046;1878-2620;Education, Scientific Disciplines | Nutrition & Dietetics;;;
Journal of Nutrition Health & Aging;1279-7707;1760-4788;;;Springer Science+Business Media;FR;C159110408;Journal of Nutrition, Health and Aging;1279-7707;-;"2717; 2916; 2701;";JOURNAL OF NUTRITION HEALTH & AGING;1279-7707;1760-4788;Geriatrics & Gerontology | Nutrition & Dietetics;;;
Journal of nutrition in gerontology and geriatrics;2155-1200;2155-1197;;;Haworth Press;US;C159110408;Journal of Nutrition in Gerontology and Geriatrics;2155-1197;2155-1200;"2717; 2916;";;;;;;;
Journal of Nutritional Biochemistry;0955-2863;0955-2863;1873-4847;;Elsevier BV;US;;Journal of Nutritional Biochemistry;0955-2863;-;"1308; 2916; 1312; 1303; 2712;";JOURNAL OF NUTRITIONAL BIOCHEMISTRY;0955-2863;1873-4847;Biochemistry & Molecular Biology | Nutrition & Dietetics;;;
Journal of Nutritional Science;2048-6790;2048-6790;;;Cambridge University Press;GB;;Journal of Nutritional Science;-;2048-6790;"2712; 1106; 2916;";JOURNAL OF NUTRITIONAL SCIENCE;2048-6790;2048-6790;Nutrition & Dietetics;Journal of Nutritional Science;;2048-6790
Journal of Nutritional Science and Vitaminology;0301-4800;0301-4800;1881-7742;;Center for Academic Publications Japan;JP;;Journal of Nutritional Science and Vitaminology;0301-4800;-;"2916; 2701;";JOURNAL OF NUTRITIONAL SCIENCE AND VITAMINOLOGY;0301-4800;1881-7742;Nutrition & Dietetics;;;
Journal of Obesity;2090-0708;2090-0716;;;Hindawi Publishing Corporation;GB;C159110408;Journal of Obesity;2090-0708;2090-0716;"2712;";JOURNAL OF OBESITY;2090-0708;2090-0716;Endocrinology & Metabolism;Journal of Obesity;2090-0708;2090-0716
Journal of Obstetric, Gynecologic, & Neonatal Nursing;1552-6909;0090-0311;0884-2175;;Harper;US;C159110408;Journal of Obstetric Gynecologic and Neonatal Nursing;0884-2175;-;"2913; 2906; 2919;";JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING;0884-2175;1552-6909;Nursing | Obstetrics & Gynecology;;;
Journal of obstetrics & gynaecology of Eastern and Central Africa;1012-8867;;;;;KE;C159110408;;;;;;;;;;;
Journal of Occupational Medicine and Toxicology;1745-6673;;;;Springer Science+Business Media;GB;C159110408;Journal of Occupational Medicine and Toxicology;1745-6673;-;"2739; 3311; 3005;";JOURNAL OF OCCUPATIONAL MEDICINE AND TOXICOLOGY;1745-6673;1745-6673;Public, Environmental & Occupational Health;Journal of Occupational Medicine and Toxicology;;1745-6673
Journal of Occupational Rehabilitation;1573-3688;1053-0487;;;Springer Science+Business Media;US;C159110408;Journal of Occupational Rehabilitation;1053-0487;1573-3688;"3609; 2742;";JOURNAL OF OCCUPATIONAL REHABILITATION;1053-0487;1573-3688;Rehabilitation | Social Issues;;;
Journal of Occupational Therapy, Schools, & Early Intervention;1941-1251;1941-1243;;;Taylor & Francis;US;C159110408;Journal of Occupational Therapy, Schools, and Early Intervention;1941-1243;1941-1251;"3609; 3304; 3207;";JOURNAL OF OCCUPATIONAL THERAPY SCHOOLS AND EARLY INTERVENTION;1941-1243;1941-1251;Psychology, Educational;;;
Journal of Oncology Pharmacy Practice;1078-1552;1477-092X;;;SAGE Publishing;GB;C159110408;Journal of Oncology Pharmacy Practice;1078-1552;1477-092X;"2736; 2730;";JOURNAL OF ONCOLOGY PHARMACY PRACTICE;1078-1552;1477-092X;Oncology | Pharmacology & Pharmacy;;;
Journal of Oncology Practice;1935-469X;1554-7477;;;American Society of Clinical Oncology;US;C159110408;;;;;;;;;;;
Journal of open public health data;2053-2407;;;;;GB;C159110408;;;;;;;;;;;
Journal of Operating Department Practitioners;1746-7357;;;;;GB;C159110408;;;;;;;;;;;
Journal of operating department practitioners;2053-3292;;;;;GB;C159110408;;;;;;;;;;;
Journal of opioid management;1551-7489;2375-0146;;;;US;C159110408;Journal of Opioid Management;1551-7489;-;"2703; 2736; 2700;";;;;;;;
Journal of Organic Chemistry Research;2314-4572;2314-4564;;;;EG;C159110408;;;;;;;;;;;
Journal of Orthopaedic Nursing;1873-4839;1361-3111;;;Elsevier BV;GB;C159110408;;;;;;;;;;;
Journal of Pain and Palliative Care Pharmacotherapy;1536-0288;1536-0539;;;Informa;US;C159110408;Journal of Pain and Palliative Care Pharmacotherapy;1536-0288;-;"2736; 2703;";JOURNAL OF PAIN & PALLIATIVE CARE PHARMACOTHERAPY;1536-0288;1536-0539;Anesthesiology;;;
Journal of Pain and Symptom Management;1873-6513;0885-3924;;;Elsevier BV;US;C159110408;Journal of Pain and Symptom Management;0885-3924;-;"2703; 2728; 2900;";JOURNAL OF PAIN AND SYMPTOM MANAGEMENT;0885-3924;1873-6513;Health Care Sciences & Services | Medicine, General & Internal | Clinical Neurology;;;
Journal of Palliative Care;2369-5293;0825-8597;;;SAGE Publishing;US;C159110408;Journal of Palliative Care;0825-8597;2369-5293;"2700;";JOURNAL OF PALLIATIVE CARE;0825-8597;2369-5293;Health Care Sciences & Services;;;
Journal of Palliative Care & Medicine;2165-7386;;;;OMICS Publishing Group;US;C159110408;;;;;;;;;;;
Journal of Palliative Medicine;1096-6218;1557-7740;;;Mary Ann Liebert, Inc.;US;C159110408;Journal of Palliative Medicine;1096-6218;-;"2703; 2700; 2900;";JOURNAL OF PALLIATIVE MEDICINE;1096-6218;1557-7740;Health Care Sciences & Services;;;
Journal of Paramedic Practice;1759-1376;2041-9457;;;Mark Allen Group;GB;C159110408;;;;;;;;;;;
Journal of parent and family mental health;2639-9997;;;;University of Massachusetts Medical School;US;C159110408;;;;;;;;;;;
Journal of Parenteral and Enteral Nutrition;0148-6071;0148-6071;1941-2444;;SAGE Publishing;US;;Journal of Parenteral and Enteral Nutrition;0148-6071;-;"2916; 2701;";JOURNAL OF PARENTERAL AND ENTERAL NUTRITION;0148-6071;1941-2444;Nutrition & Dietetics;;;
Journal of participatory medicine;2152-7202;;;;;CA;C159110408;Journal of Participatory Medicine;-;2152-7202;"2718; 2204; 2701; ";;;;;Journal of Participatory Medicine;;2152-7202
Journal of Patan Academy of Health Sciences;2091-2749;2091-2757;;;;NP;C159110408;;;;;;;;;;;
Journal of patient care;2573-4598;;;;OMICS Publishing Group;US;C159110408;;;;;;;;;;;
Journal of patient experience;2374-3743;2374-3735;;;SAGE Publishing;US;C159110408;Journal of Patient Experience;2374-3735;2374-3743;"2719; 3306; 2911; ";JOURNAL OF PATIENT EXPERIENCE;2374-3743;2374-3735;Health Care Sciences & Services;Journal of Patient Experience;2374-3735;2374-3743
Journal of Patient Safety;1549-8417;1549-8425;;;Lippincott Williams & Wilkins;US;C159110408;Journal of Patient Safety;1549-8417;1549-8425;"2739; 2911;";JOURNAL OF PATIENT SAFETY;1549-8417;1549-8425;Health Care Sciences & Services;;;
Journal of patient safety and quality improvement;2345-4482;;;;Mashhad University of Medical Sciences;IR;C159110408;;;;;;;;;Patient Safety and Quality Improvement Journal;2345-4482;2345-4490
Journal of patient safety and risk management;2516-0435;2516-0443;;;SAGE Publishing;GB;C159110408;Journal of Patient Safety and Risk Management;2516-0435;2516-0443;"2719; 3306; 2911; ";JOURNAL OF PATIENT SAFETY AND RISK MANAGEMENT;2516-0435;2516-0443;Health Care Sciences & Services | Health Policy & Services;;;
Journal of Patient-Centered Research and Reviews;2330-068X;2330-0698;;;Advocate Aurora Health;US;C159110408;;;;;JOURNAL OF PATIENT-CENTERED RESEARCH AND REVIEWS;2330-068X;2330-0698;Health Care Sciences & Services;Journal of Patient-Centered Research and Reviews;;2330-0698
Journal of Patient-Reported Outcomes;2509-8020;;;;Springer Nature;GB;C159110408;Journal of Patient-Reported Outcomes;-;2509-8020;"3605; 2718;";JOURNAL OF PATIENT-REPORTED OUTCOMES;;2509-8020;Health Care Sciences & Services | Health Policy & Services;Journal of Patient-Reported Outcomes;;2509-8020
Journal of Pediatric Health Care;0891-5245;1532-656X;;;Elsevier BV;US;C159110408;Journal of Pediatric Health Care;0891-5245;-;"2735;";JOURNAL OF PEDIATRIC HEALTH CARE;0891-5245;1532-656X;Nursing | Pediatrics;;;
Journal of pediatric hematology/oncology nursing;2752-7549;2752-7530;;;SAGE Publishing;US;C159110408;Journal of Pediatric Hematology/Oncology Nursing;2752-7530;2752-7549;"2919; 2917; 2902; 2700; ";JOURNAL OF PEDIATRIC HEMATOLOGY-ONCOLOGY NURSING;2752-7530;2752-7549;Nursing | Oncology;;;
Journal of Pediatric Intensive Care;2146-4618;2146-4626;;;Thieme Medical Publishers (Germany);NL;C159110408;;;;;JOURNAL OF PEDIATRIC INTENSIVE CARE;2146-4618;2146-4626;Pediatrics;;;
Journal of Pediatric Nursing;1532-8449;0882-5963;1088-145X;2162-6405;Elsevier BV;US;C159110408;Journal of Pediatric Nursing;0882-5963;1532-8449;"2919;";JOURNAL OF PEDIATRIC NURSING-NURSING CARE OF CHILDREN & FAMILIES;0882-5963;0882-5963;Nursing | Pediatrics;;;
Journal of Pediatric Oncology Nursing;1043-4542;1532-8457;;;SAGE Publishing;NL;C159110408;;;;;;;;;;;
Journal of Pediatric Psychology;1465-735X;0146-8693;;;Oxford University Press;GB;C159110408;Journal of Pediatric Psychology;0146-8693;1465-735X;"3204; 2735;";JOURNAL OF PEDIATRIC PSYCHOLOGY;0146-8693;1465-735X;Psychology, Development;;;
Journal of pediatric rehabilitation medicine;1875-8894;1874-5393;;;IOS Press;NL;C159110408;Journal of Pediatric Rehabilitation Medicine;1874-5393;1875-8894;"2742; 3612; 2735;";JOURNAL OF PEDIATRIC REHABILITATION MEDICINE;1874-5393;1875-8894;Pediatrics;;;
Journal of pediatric surgical nursing;2332-0249;;;;Lippincott Williams & Wilkins;US;C159110408;Journal of Pediatric Surgical Nursing;-;2332-0249;"2914; 2919; 2746;";;;;;;;
Journal of pediatrics & child health care;2768-5942;;;;;US;C159110408;;;;;;;;;;;
Journal of PeriAnesthesia Nursing;1532-8473;1089-9472;;;Elsevier BV;US;C159110408;Journal of Perianesthesia Nursing;1089-9472;1532-8473;"2914;";JOURNAL OF PERIANESTHESIA NURSING;1089-9472;1532-8473;Nursing;;;
Journal of Perinatal & Neonatal Nursing;1550-5073;0893-2190;;;Lippincott Williams & Wilkins;US;C159110408;Journal of Perinatal and Neonatal Nursing;0893-2190;1550-5073;"2913; 2906; 2919;";JOURNAL OF PERINATAL & NEONATAL NURSING;0893-2190;1550-5073;Nursing | Obstetrics & Gynecology | Pediatrics;;;
Journal of Perinatal Education;1058-1243;1548-8519;;;Springer Nature;;C159110408;Journal of Perinatal Education;1058-1243;1548-8519;"2913; 2729; 2919; 2735; ";JOURNAL OF PERINATAL EDUCATION;1058-1243;1548-8519;Education & Educational Research;;;
Journal of Perinatal Pediatric and Neonatal Nursing;2581-9011;;;;;IN;C159110408;;;;;;;;;;;
Journal of Perioperative & Critical Intensive Care Nursing;2471-9870;;;;OMICS Publishing Group;US;C159110408;;;;;;;;;;;
Journal of perioperative nursing;2209-1084;2209-1092;;;;AU;C159110408;Journal of Perioperative Nursing;2209-1084;2209-1092;"2902; 2914;";;;;;Journal of Perioperative Nursing;2209-1084;2209-1092
Journal of perioperative practice;2515-7949;1750-4589;;;SAGE Publishing;GB;C159110408;Journal of Perioperative Practice;1750-4589;2515-7949;"2914; 2703; 2746;";JOURNAL OF PERIOPERATIVE PRACTICE;1750-4589;2515-7949;Surgery;;;
Journal of pharmaceutical advanced research;2581-6160;;;;;;C159110408;;;;;;;;;;;
Journal of pharmaceutical care;2322-4630;2322-4509;;;Research Center for Rational Use of Drugs (RCRUD);IR;C159110408;;;;;;;;;Journal of Pharmaceutical Care;2322-4630;2322-4509
Journal of Pharmaceutical Care in Pain & Symptom Control;1056-4950;2331-3471;;;Informa;US;C159110408;;;;;;;;;;;
Journal of pharmaceutical finance, economics & policy;1538-5698;1538-5396;1930-6326;;Haworth Press;US;C159110408;;;;;;;;;;;
Journal of Pharmaceutical Health Care and Sciences;2055-0294;;;;Springer Science+Business Media;GB;C159110408;Journal of Pharmaceutical Health Care and Sciences;-;2055-0294;"2736; 2920;";JOURNAL OF PHARMACEUTICAL HEALTH CARE AND SCIENCES;2055-0294;2055-0294;Pharmacology & Pharmacy;Journal of Pharmaceutical Health Care and Sciences;;2055-0294
Journal of Pharmaceutical Health Services Research;1759-8885;1759-8893;;;Wiley-Blackwell;GB;C159110408;Journal of Pharmaceutical Health Services Research;1759-8885;1759-8893;"3001; 2001;";JOURNAL OF PHARMACEUTICAL HEALTH SERVICES RESEARCH;1759-8885;1759-8893;Health Care Sciences & Services;;;
Journal of Pharmaceutical Marketing & Management;0883-7597;1540-8574;;;Haworth Press;US;C159110408;;;;;;;;;;;
Journal of Pharmaceutical Policy and Practice;2052-3211;;;;BioMed Central;GB;C159110408;Journal of Pharmaceutical Policy and Practice;2052-3211;-;"3611; 2719;";JOURNAL OF PHARMACEUTICAL POLICY AND PRACTICE;;2052-3211;Health Policy & Services | Pharmacology & Pharmacy;Journal of Pharmaceutical Policy and Practice;;2052-3211
Journal of pharmaceutical research and opinion;2249-1953;;;;;IN;C159110408;;;;;;;;;;;
Journal of pharmacoepidemiology;0896-6966;1540-8582;;;Wiley;US;C159110408;;;;;;;;;;;
Journal of Pharmacy;2773-5664;;;;IIUM Press, International Islamic University Malaysia;MY;C159110408;;;;;;;;;Journal of Pharmacy;;2773-5664
Journal of pharmacy and pharmacology research;2578-1553;;;;;US;C159110408;;;;;;;;;;;
Journal of Pharmacy Practice;0897-1900;1531-1937;;;SAGE Publishing;US;C159110408;Journal of Pharmacy Practice;0897-1900;-;"2736;";JOURNAL OF PHARMACY PRACTICE;0897-1900;1531-1937;Pharmacology & Pharmacy;;;
Journal of pharmacy practice and community medicine;2455-3255;;;;;IN;C159110408;;;;;;;;;;;
Journal of pharmacy practice and research;2055-2335;1445-937X;;;Wiley;AU;C159110408;Journal of Pharmacy Practice and Research;1445-937X;-;"2736; 3611;";JOURNAL OF PHARMACY PRACTICE AND RESEARCH;1445-937X;2055-2335;Pharmacology & Pharmacy;;;
Journal of Pharmacy Teaching;1044-0054;1540-7365;;;;US;C159110408;;;;;;;;;;;
